key,preset,seed,faultCount,orebodyType,contract.worldGenerated,contract.worldError,contract.targetsStatus,contract.targetsLevels,contract.targetsValid,contract.targetsRejected,contract.declineStatus,contract.declineLevels,contract.declineCompletedLevels,contract.smoothedStatus,contract.smoothedSegments,contract.smoothedFallbackSegments,contract.tunnelStatus,contract.levelsStatus,contract.levelsDriftPieces,contract.levelsCrosscuts,contract.networkStatus,contract.networkNodes,contract.networkEdges,contract.networkConnected,contract.stopesStatus,contract.stopeCount,contract.timelineStatus,contract.timelineTasks,metric.rawDeclineLength,metric.generalizedCost,metric.expandedStates,metric.maxGradient,metric.minimumRadius,metric.effectiveDeclineLength,metric.effectiveMinPlanRadius,metric.effectiveMaxGradient,metric.faultCrossings,metric.developmentLengthFaultCore,metric.developmentLengthFaultDamage,metric.developmentLengthPoorRock,metric.totalDriftLength,metric.totalCrosscutLength,metric.totalDevelopmentLength,metric.plannedStopeTonnes,metric.gradeProxy,metric.timelineEndDay,runtime.world,runtime.targets,runtime.decline,runtime.smooth,runtime.tunnel,runtime.levels,runtime.network,runtime.stopes,runtime.timeline,runtime.total
BASELINE-42,BASELINE,42,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,220,221,SUCCESS,455,454,True,SUCCESS,204,SUCCESS,1474,3837.4332305258145,7221.040287333693,55467,0.12,18.0,3837.2098921129727,17.956061490679186,0.12000608677309571,0,0.0,0.0,29.03260592564947,7280.000000000001,4703.665754343531,15820.22389741577,5470725.09274417,3.990998288419237,1106.3110909790057,1.0950292140000784,0.0378350789999331,58.987276247999944,7.614963627000179,3.6459600279999904,0.2313781810000819,3.808248046000017,0.11779294500001924,0.07561162699994384,75.708099963
BASELINE-7,BASELINE,7,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,1,SUCCESS,SUCCESS,216,221,SUCCESS,451,450,True,SUCCESS,204,SUCCESS,1470,3736.561602986643,7132.467058310687,218947,0.12,18.0,3736.294038854898,17.959415725921197,0.12000865100357094,0,0.0,0.0,194.138019893548,7280.000000000001,4703.665754343532,15719.337145411097,5470725.09274417,3.7723852823353843,1071.0894029778365,0.6966730210001515,0.025454527999954735,200.54902663500002,7.008678384000177,3.5458874169999035,0.23738752599979307,3.9544937729999674,0.1912733650001428,0.08974756199995682,216.3900473499998
BASELINE-1234,BASELINE,1234,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,221,221,SUCCESS,456,455,True,SUCCESS,204,SUCCESS,1475,3710.719071685786,7367.0987323538775,169067,0.12,18.0,3710.500980706488,17.954765762154555,0.12000000000001769,0,0.0,0.0,38.78355544951824,7280.000000000001,4703.665754343533,15693.535127868488,5470725.09274417,4.173161703018696,1074.6388985921833,0.7892297949999829,0.028927044000056412,159.90211617299997,7.386175489999914,3.2986424529999567,0.23633827399999063,4.223764679999931,0.13389965700002904,0.08246442700010448,176.1805101939999
BASELINE-2026,BASELINE,2026,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,3,SUCCESS,SUCCESS,221,221,SUCCESS,456,455,True,SUCCESS,204,SUCCESS,1475,3558.72837361038,7164.148023094691,1260283,0.12,18.0,3558.3515147508483,17.95186398063517,0.12000000000000796,0,0.0,0.0,332.3511620715985,7280.000000000001,4703.665754343531,15541.596234517823,5470725.09274417,3.908134029320228,1036.654175254516,0.7844375040001523,0.02937428799987174,1092.6712547349998,5.436666603000049,3.3867871709999235,0.2442487580001398,4.074175190999995,0.11189081600014106,0.1233810909998283,1106.960572423
BASELINE-99,BASELINE,99,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,218,221,SUCCESS,453,452,True,SUCCESS,204,SUCCESS,1472,3646.258031810991,6839.33540962656,294173,0.12,18.0,3646.030943074277,17.95731655905123,0.12000000000001126,0,0.0,0.0,77.53838359738991,7280.000000000001,4703.665754343531,15629.034160044117,5470725.09274417,4.339457637092807,1053.5136566360902,0.7735918529997434,0.02839484900005118,253.51287575399965,6.056612381000377,3.3728656019998198,0.23788680799998474,4.061813770999834,0.13406023600009576,0.08486718199992538,268.357898533
RANDOM_TABULAR-101,RANDOM_TABULAR,101,0,TABULAR,True,,SUCCESS,7,30,5,PARTIAL,7,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,0.4307771030003096,0.027622019000318687,0.001870608999979595,,,,,,,0.460287967000113
RANDOM_TABULAR-102,RANDOM_TABULAR,102,1,TABULAR,True,,SUCCESS,8,40,0,PARTIAL,8,0,,,,,,,,,,,,,,,,0.0,0.0,1250000,0.0,,,,,,,,,,,,,,,0.8058803369999623,0.025764661000266642,1048.4990369359998,,,,,,,1049.3307095310001
RANDOM_TABULAR-103,RANDOM_TABULAR,103,2,TABULAR,True,,SUCCESS,7,35,0,SUCCESS,7,7,SUCCESS,7,0,SUCCESS,SUCCESS,91,91,SUCCESS,190,189,True,SUCCESS,78,SUCCESS,579,3148.898234742766,6780.133866449475,1557324,0.12,18.0,3148.715218720333,17.95828949924692,0.12000000000000964,12,76.74151048095567,481.9590502568462,62.54896409706362,2940.0000000000005,2343.2261819930427,8431.414703906543,2442808.9434287283,3.255928310205251,927.0513826092638,0.9041164949999256,0.02602858499994909,1394.4115474549994,19.27249147800012,3.0035716200000024,0.09138200799952756,0.6769815189991277,0.05883224999979575,0.03495399400071619,1418.5338844479998
RANDOM_TABULAR-104,RANDOM_TABULAR,104,3,TABULAR,True,,SUCCESS,8,40,0,SUCCESS,8,8,SUCCESS_WITH_FALLBACK,8,3,FAILED,SUCCESS,135,136,SUCCESS,280,279,True,SUCCESS,119,SUCCESS,874,3751.2652839912867,9261.424220804558,336380,0.12,18.0,3750.9561334846726,17.957077722988124,0.12000000000001926,24,351.70184422563744,2681.24197076118,0.0,4480.0,2901.0045259993776,11131.470477901881,2726809.2391475425,5.439890242665487,1065.5072248698546,0.8722850889998881,0.025797947999308235,309.84557981800026,23.68370780999976,0.012973586999578401,0.16167181699984212,1.5137487100000726,0.09257457200055796,0.05815795499984233,336.33980807900025
RANDOM_TABULAR-105,RANDOM_TABULAR,105,2,TABULAR,True,,SUCCESS,9,40,5,PARTIAL,9,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,0.7062521199995899,0.027348683000127494,0.001914048999424267,,,,,,,0.7355376919995251
