key,preset,seed,faultCount,orebodyType,contract.worldGenerated,contract.worldError,contract.targetsStatus,contract.targetsLevels,contract.targetsValid,contract.targetsRejected,contract.declineStatus,contract.declineLevels,contract.declineCompletedLevels,contract.smoothedStatus,contract.smoothedSegments,contract.smoothedFallbackSegments,contract.tunnelStatus,contract.levelsStatus,contract.levelsDriftPieces,contract.levelsCrosscuts,contract.networkStatus,contract.networkNodes,contract.networkEdges,contract.networkConnected,contract.stopesStatus,contract.stopeCount,contract.timelineStatus,contract.timelineTasks,metric.rawDeclineLength,metric.generalizedCost,metric.expandedStates,metric.maxGradient,metric.minimumRadius,metric.effectiveDeclineLength,metric.effectiveMinPlanRadius,metric.effectiveMaxGradient,metric.faultCrossings,metric.developmentLengthFaultCore,metric.developmentLengthFaultDamage,metric.developmentLengthPoorRock,metric.totalDriftLength,metric.totalCrosscutLength,metric.totalDevelopmentLength,metric.plannedStopeTonnes,metric.gradeProxy,metric.timelineEndDay,runtime.world,runtime.targets,runtime.decline,runtime.smooth,runtime.tunnel,runtime.levels,runtime.network,runtime.stopes,runtime.timeline,runtime.total
BASELINE-42,BASELINE,42,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,220,221,SUCCESS,455,454,True,SUCCESS,204,SUCCESS,1474,3837.4332305258145,7221.040287333693,55467,0.12,18.0,3837.2098921129727,17.956061490679186,0.12000608677309571,0,0.0,0.0,29.03260592564947,7280.000000000001,4703.665754343531,15820.22389741577,5470725.09274417,3.9980178962049715,1106.3110909790057,1.1661111230000643,0.021520743999644765,57.799394093000046,7.530019210000319,3.4926785739999104,0.22783847900018372,4.060496477000015,0.1922616250003557,0.09306832199990822,74.68343066099987
BASELINE-7,BASELINE,7,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,1,SUCCESS,SUCCESS,216,221,SUCCESS,451,450,True,SUCCESS,204,SUCCESS,1470,3736.561602986643,7132.467058310687,218947,0.12,18.0,3736.294038854898,17.959415725921197,0.12000865100357094,0,0.0,0.0,194.138019893548,7280.000000000001,4703.665754343532,15719.337145411097,5470725.09274417,3.773937177438762,1071.0894029778365,0.9012799600000108,0.019522483999935503,202.23027832699972,6.789568790999965,3.341288758999781,0.22553942900003676,3.922985785000037,0.2230964110003697,0.083260977000009,217.83292912699972
BASELINE-1234,BASELINE,1234,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,221,221,SUCCESS,456,455,True,SUCCESS,204,SUCCESS,1475,3710.719071685786,7367.0987323538775,169067,0.12,18.0,3710.500980706488,17.954765762154555,0.12000000000001769,0,0.0,0.0,38.78355544951824,7280.000000000001,4703.665754343533,15693.535127868488,5470725.09274417,4.164913993600818,1074.6388985921833,1.000576596999963,0.018684081999708724,158.71597513000006,6.704685472000165,3.2615090589997635,0.16996913799994218,3.7147383380001884,0.14906868000025497,0.07412253599977703,173.88297540099984
BASELINE-2026,BASELINE,2026,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,3,SUCCESS,SUCCESS,221,221,SUCCESS,456,455,True,SUCCESS,204,SUCCESS,1475,3558.72837361038,7164.148023094691,1260283,0.12,18.0,3558.3515147508483,17.95186398063517,0.12000000000000796,0,0.0,0.0,332.3511620715985,7280.000000000001,4703.665754343531,15541.596234517823,5470725.09274417,3.9107031394241125,1036.654175254516,0.8547546900003908,0.01551091200008159,1066.0305923239998,5.311134161000155,3.1598259500001404,0.23732099500011827,4.297316676999799,0.21967945300002611,0.15224302900014663,1080.383586818
BASELINE-99,BASELINE,99,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,218,221,SUCCESS,453,452,True,SUCCESS,204,SUCCESS,1472,3646.258031810991,6839.33540962656,294173,0.12,18.0,3646.030943074277,17.95731655905123,0.12000000000001126,0,0.0,0.0,77.53838359738991,7280.000000000001,4703.665754343531,15629.034160044117,5470725.09274417,4.342256473542342,1053.5136566360902,1.1545672219999688,0.018765967000035744,259.46713251400024,6.140768033000313,2.775187702999574,0.16153376100010064,3.8732410350003192,0.1509645489995819,0.06807942800060118,273.88071219799986
RANDOM_TABULAR-101,RANDOM_TABULAR,101,0,TABULAR,True,,SUCCESS,7,30,5,PARTIAL,7,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,0.5799616439999227,0.01991385099972831,0.0019769450000239885,,,,,,,0.6018803449996994
RANDOM_TABULAR-102,RANDOM_TABULAR,102,1,TABULAR,True,,SUCCESS,8,40,0,PARTIAL,8,0,,,,,,,,,,,,,,,,0.0,0.0,1250000,0.0,,,,,,,,,,,,,,,1.0132439349999913,0.017819962999965355,1069.809480897,,,,,,,1070.8405719889997
RANDOM_TABULAR-103,RANDOM_TABULAR,103,2,TABULAR,True,,SUCCESS,7,35,0,SUCCESS,7,7,SUCCESS,7,0,SUCCESS,SUCCESS,91,91,SUCCESS,190,189,True,SUCCESS,78,SUCCESS,579,3148.898234742766,6780.133866449475,1557324,0.12,18.0,3148.715218720333,17.95828949924692,0.12000000000000964,12,76.74151048095567,481.9590502568462,62.54896409706362,2940.0000000000005,2343.2261819930427,8431.414703906543,2442808.9434287283,3.2719685724696843,927.0513826092638,1.2264777730006244,0.02151793800021551,1381.749768951,19.63307801600058,2.8396364249992985,0.08216682500005845,0.6250605280001764,0.0791166320004777,0.039108049000788014,1406.3343954109996
RANDOM_TABULAR-104,RANDOM_TABULAR,104,3,TABULAR,True,,SUCCESS,8,40,0,SUCCESS,8,8,SUCCESS_WITH_FALLBACK,8,3,FAILED,SUCCESS,135,136,SUCCESS,280,279,True,SUCCESS,119,SUCCESS,874,3751.2652839912867,9261.424220804558,336380,0.12,18.0,3750.9561334846726,17.957077722988124,0.12000000000001926,24,351.70184422563744,2681.24197076118,0.0,4480.0,2901.0045259993776,11131.470477901881,2726809.2391475425,5.4458897565520035,1065.5072248698546,1.04354589400009,0.01622498600045219,307.38633942199976,22.400553895000485,0.010165124000195647,0.1124162760006584,1.2988712489996033,0.0910493020001013,0.05311928899936902,332.50162289699983
RANDOM_TABULAR-105,RANDOM_TABULAR,105,2,TABULAR,True,,SUCCESS,9,40,5,PARTIAL,9,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,0.7440767289999712,0.013870215999304492,0.0017010319998007617,,,,,,,0.7596680540000307
