key,preset,seed,faultCount,orebodyType,contract.worldGenerated,contract.worldError,contract.targetsStatus,contract.targetsLevels,contract.targetsValid,contract.targetsRejected,contract.declineStatus,contract.declineLevels,contract.declineCompletedLevels,contract.smoothedStatus,contract.smoothedSegments,contract.smoothedFallbackSegments,contract.tunnelStatus,contract.levelsStatus,contract.levelsDriftPieces,contract.levelsCrosscuts,contract.networkStatus,contract.networkNodes,contract.networkEdges,contract.networkConnected,contract.stopesStatus,contract.stopeCount,contract.timelineStatus,contract.timelineTasks,metric.rawDeclineLength,metric.generalizedCost,metric.expandedStates,metric.maxGradient,metric.minimumRadius,metric.effectiveDeclineLength,metric.effectiveMinPlanRadius,metric.effectiveMaxGradient,metric.faultCrossings,metric.developmentLengthFaultCore,metric.developmentLengthFaultDamage,metric.developmentLengthPoorRock,metric.totalDriftLength,metric.totalCrosscutLength,metric.totalDevelopmentLength,metric.plannedStopeTonnes,metric.gradeProxy,metric.timelineEndDay,runtime.world,runtime.targets,runtime.decline,runtime.smooth,runtime.tunnel,runtime.levels,runtime.network,runtime.stopes,runtime.timeline,runtime.total
BASELINE-42,BASELINE,42,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,220,221,SUCCESS,455,454,True,SUCCESS,204,SUCCESS,1474,3837.4332305258145,7221.040287333693,55467,0.12,18.0,3837.2098921129727,17.956061490679186,0.12000608677309571,0,0.0,0.0,29.03260592564947,7280.000000000001,4703.665754343531,15820.22389741577,5470725.09274417,3.9980178962049715,1106.3110909790057,1.0374541160001627,0.019779653999876246,51.10349467099991,5.959143550999897,3.2502299440000115,0.19719937199988635,3.342220790000056,0.1587994079998225,0.07510029299987764,65.22447333500008
BASELINE-7,BASELINE,7,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,1,SUCCESS,SUCCESS,216,221,SUCCESS,451,450,True,SUCCESS,204,SUCCESS,1470,3736.561602986643,7132.467058310687,218947,0.12,18.0,3736.294038854898,17.959415725921197,0.12000865100357094,0,0.0,0.0,194.138019893548,7280.000000000001,4703.665754343532,15719.337145411097,5470725.09274417,3.773937177438762,1071.0894029778365,0.8211883029998717,0.01816551399997479,175.564496877,4.7509123760000875,3.2456387570000516,0.20554091099984362,3.2840317199998026,0.20579286600013802,0.0785286670000005,188.25477968400014
BASELINE-1234,BASELINE,1234,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,221,221,SUCCESS,456,455,True,SUCCESS,204,SUCCESS,1475,3710.719071685786,7367.0987323538775,169067,0.12,18.0,3710.500980706488,17.954765762154555,0.12000000000001769,0,0.0,0.0,38.78355544951824,7280.000000000001,4703.665754343533,15693.535127868488,5470725.09274417,4.164913993600818,1074.6388985921833,0.8367823450000742,0.019352190000063274,152.05909171899998,5.892253567000125,2.927237914999978,0.17384106500003327,2.8622178420000637,0.12125399899991862,0.05988902999979473,165.02650022399985
BASELINE-2026,BASELINE,2026,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,3,SUCCESS,SUCCESS,221,221,SUCCESS,456,455,True,SUCCESS,204,SUCCESS,1475,3558.72837361038,7164.148023094691,1260283,0.12,18.0,3558.3515147508483,17.95186398063517,0.12000000000000796,0,0.0,0.0,332.3511620715985,7280.000000000001,4703.665754343531,15541.596234517823,5470725.09274417,3.9107031394241125,1036.654175254516,0.7227866499999891,0.014816186999951242,989.1507473599997,4.79513946599991,3.3830232710001837,0.22298244400008116,3.4001711369996883,0.1499353929998506,0.07288767199997892,1002.0060210180002
BASELINE-99,BASELINE,99,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,218,221,SUCCESS,453,452,True,SUCCESS,204,SUCCESS,1472,3646.258031810991,6839.33540962656,294173,0.12,18.0,3646.030943074277,17.95731655905123,0.12000000000001126,0,0.0,0.0,77.53838359738991,7280.000000000001,4703.665754343531,15629.034160044117,5470725.09274417,4.342256473542342,1053.5136566360902,0.9499505419998968,0.017658798999946157,247.673727804,4.521389171999999,3.126813627000047,0.21738480300018637,3.4828050600003735,0.15840082399972744,0.08090593299993998,260.3211591290001
RANDOM_TABULAR-101,RANDOM_TABULAR,101,0,TABULAR,True,,SUCCESS,7,30,5,PARTIAL,7,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,0.5484974340001827,0.016556695999952353,0.001658640000187006,,,,,,,0.5667347319999863
RANDOM_TABULAR-102,RANDOM_TABULAR,102,1,TABULAR,True,,SUCCESS,8,40,0,PARTIAL,8,0,,,,,,,,,,,,,,,,0.0,0.0,1250000,0.0,,,,,,,,,,,,,,,0.9773103210000045,0.019556663999992452,967.4267649150001,,,,,,,968.4236586889997
RANDOM_TABULAR-103,RANDOM_TABULAR,103,2,TABULAR,True,,SUCCESS,7,35,0,SUCCESS,7,7,SUCCESS,7,0,SUCCESS,SUCCESS,91,91,SUCCESS,190,189,True,SUCCESS,78,SUCCESS,579,3148.898234742766,6780.133866449475,1557324,0.12,18.0,3148.715218720333,17.95828949924692,0.12000000000000964,12,76.74151048095567,481.9590502568462,62.54896409706362,2940.0000000000005,2343.2261819930427,8431.414703906543,2442808.9434287283,3.2719685724696843,927.0513826092638,1.0448600290001195,0.016765458999998373,1300.7252236089998,14.427786602999731,2.665282726999976,0.14707386000009137,0.6477910329995211,0.08084210600009101,0.039996084999984305,1319.8481680659997
RANDOM_TABULAR-104,RANDOM_TABULAR,104,3,TABULAR,True,,SUCCESS,8,40,0,SUCCESS,8,8,SUCCESS_WITH_FALLBACK,8,3,FAILED,SUCCESS,135,136,SUCCESS,280,279,True,SUCCESS,119,SUCCESS,874,3751.2652839912867,9261.424220804558,336380,0.12,18.0,3750.9561334846726,17.957077722988124,0.12000000000001926,24,351.70184422563744,2681.24197076118,0.0,4480.0,2901.0045259993776,11131.470477901881,2726809.2391475425,5.4458897565520035,1065.5072248698546,0.8515469519998078,0.020840902999225364,293.87683308299984,18.097649368999555,0.011664554000162752,0.15292099300040718,1.3344223929998407,0.10803665399998863,0.049938621999899624,314.5751438389998
RANDOM_TABULAR-105,RANDOM_TABULAR,105,2,TABULAR,True,,SUCCESS,9,40,5,PARTIAL,9,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,0.7739207060003537,0.016714778999812552,0.001701183000477613,,,,,,,0.7923576330003925
