key,preset,seed,faultCount,orebodyType,contract.worldGenerated,contract.worldError,contract.targetsStatus,contract.targetsLevels,contract.targetsValid,contract.targetsRejected,contract.declineStatus,contract.declineLevels,contract.declineCompletedLevels,contract.smoothedStatus,contract.smoothedSegments,contract.smoothedFallbackSegments,contract.tunnelStatus,contract.levelsStatus,contract.levelsDriftPieces,contract.levelsCrosscuts,contract.networkStatus,contract.networkNodes,contract.networkEdges,contract.networkConnected,contract.stopesStatus,contract.stopeCount,contract.timelineStatus,contract.timelineTasks,metric.rawDeclineLength,metric.generalizedCost,metric.expandedStates,metric.maxGradient,metric.minimumRadius,metric.effectiveDeclineLength,metric.effectiveMinPlanRadius,metric.effectiveMaxGradient,metric.faultCrossings,metric.developmentLengthFaultCore,metric.developmentLengthFaultDamage,metric.developmentLengthPoorRock,metric.totalDriftLength,metric.totalCrosscutLength,metric.totalDevelopmentLength,metric.plannedStopeTonnes,metric.gradeProxy,metric.timelineEndDay,runtime.world,runtime.targets,runtime.decline,runtime.smooth,runtime.tunnel,runtime.levels,runtime.network,runtime.stopes,runtime.timeline,runtime.total
BASELINE-42,BASELINE,42,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,220,221,SUCCESS,455,454,True,SUCCESS,204,SUCCESS,1474,3837.4332305258145,7221.040287333693,55467,0.12,18.0,3837.2098921129727,17.956061490679186,0.12000608677309571,0,0.0,0.0,29.03260592564947,7280.000000000001,4703.665754343531,15820.22389741577,5470725.09274417,3.9980178962049715,1106.3110909790057,1.423846200999833,0.03444797900010599,104.54489690899936,11.669941903000108,6.1482580029996825,0.42365057099959813,6.760594843000035,0.32063928900061,0.15109104800012574,131.67746366699976
BASELINE-7,BASELINE,7,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,1,SUCCESS,SUCCESS,216,221,SUCCESS,451,450,True,SUCCESS,204,SUCCESS,1470,3736.561602986643,7132.467058310687,218947,0.12,18.0,3736.294038854898,17.959415725921197,0.12000865100357094,0,0.0,0.0,194.138019893548,7280.000000000001,4703.665754343532,15719.337145411097,5470725.09274417,3.773937177438762,1071.0894029778365,1.1959155909999026,0.03961080399949424,357.89329960100076,9.601536635999764,6.104287305000071,0.4482156610001766,6.5282463630001075,0.39514411999971344,0.13357976000042981,382.5518679930001
BASELINE-1234,BASELINE,1234,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,221,221,SUCCESS,456,455,True,SUCCESS,204,SUCCESS,1475,3710.719071685786,7367.0987323538775,169067,0.12,18.0,3710.500980706488,17.954765762154555,0.12000000000001769,0,0.0,0.0,38.78355544951824,7280.000000000001,4703.665754343533,15693.535127868488,5470725.09274417,4.164913993600818,1074.6388985921833,1.1184336729993447,0.032952331000160484,287.51656357999946,10.59770137400028,5.492215201000363,0.42153837400019256,6.67675168400001,0.3425285880002775,0.14317354000013438,312.5451297130003
BASELINE-2026,BASELINE,2026,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,3,SUCCESS,SUCCESS,221,221,SUCCESS,456,455,True,SUCCESS,204,SUCCESS,1475,3558.72837361038,7164.148023094691,1260283,0.12,18.0,3558.3515147508483,17.95186398063517,0.12000000000000796,0,0.0,0.0,332.3511620715985,7280.000000000001,4703.665754343531,15541.596234517823,5470725.09274417,3.9107031394241125,1036.654175254516,1.3194631330006814,0.03446756099947379,2026.0389459299995,8.046197366000342,5.528227597000296,0.4142982100001973,6.310402306999094,0.34680589600066014,0.1360629169994354,2048.3774518770006
BASELINE-99,BASELINE,99,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,218,221,SUCCESS,453,452,True,SUCCESS,204,SUCCESS,1472,3646.258031810991,6839.33540962656,294173,0.12,18.0,3646.030943074277,17.95731655905123,0.12000000000001126,0,0.0,0.0,77.53838359738991,7280.000000000001,4703.665754343531,15629.034160044117,5470725.09274417,4.342256473542342,1053.5136566360902,1.2114511349991517,0.03460882400031551,465.7303151489996,8.460601414000848,5.188403565000044,0.39010483600031876,5.8254958520010405,0.3773383469997498,0.1228040330006479,487.51953284199953
RANDOM_TABULAR-101,RANDOM_TABULAR,101,0,TABULAR,True,,SUCCESS,7,30,5,PARTIAL,7,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,0.7361927609999839,0.03059067899994261,0.002189263999753166,,,,,,,0.7690042510002968
RANDOM_TABULAR-102,RANDOM_TABULAR,102,1,TABULAR,True,,SUCCESS,8,40,0,PARTIAL,8,0,,,,,,,,,,,,,,,,0.0,0.0,1250000,0.0,,,,,,,,,,,,,,,1.1918196599999646,0.03296000299997104,1895.7679598939994,,,,,,,1896.9927761149993
RANDOM_TABULAR-103,RANDOM_TABULAR,103,2,TABULAR,True,,SUCCESS,7,35,0,SUCCESS,7,7,SUCCESS,7,0,SUCCESS,SUCCESS,91,91,SUCCESS,190,189,True,SUCCESS,78,SUCCESS,579,3148.898234742766,6780.133866449475,1557324,0.12,18.0,3148.715218720333,17.95828949924692,0.12000000000000964,12,76.74151048095567,481.9590502568462,62.54896409706362,2940.0000000000005,2343.2261819930427,8431.414703906543,2442808.9434287283,3.2719685724696843,927.0513826092638,1.286088913999265,0.03056353899955866,2582.922078257001,27.599930701999256,4.726766932999453,0.1918396279997978,0.950128976999622,0.13958970299972862,0.05733941799917375,2618.002737727
RANDOM_TABULAR-104,RANDOM_TABULAR,104,3,TABULAR,True,,SUCCESS,8,40,0,SUCCESS,8,8,SUCCESS_WITH_FALLBACK,8,3,FAILED,SUCCESS,135,136,SUCCESS,280,279,True,SUCCESS,119,SUCCESS,874,3751.2652839912867,9261.424220804558,336380,0.12,18.0,3750.9561334846726,17.957077722988124,0.12000000000001926,24,351.70184422563744,2681.24197076118,0.0,4480.0,2901.0045259993776,11131.470477901881,2726809.2391475425,5.4458897565520035,1065.5072248698546,1.3359071599988965,0.03156752399991092,609.794131568,32.64724076799939,0.02070714999899792,0.34157990499988955,2.3136759560002247,0.23184408999986772,0.0941351500005112,646.957114167999
RANDOM_TABULAR-105,RANDOM_TABULAR,105,2,TABULAR,True,,SUCCESS,9,40,5,PARTIAL,9,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,1.2403215609992913,0.03162205599983281,0.0025581469999451656,,,,,,,1.2745344969989674
