key,seed,contract.realized,contract.shapeModelVersion,contract.planformConnectedComponents,contract.latticeShape,contract.meshVertices,contract.meshTriangles,contract.meshWatertight,contract.meshOutward,contract.meshInsideBbox,contract.clearanceSignAgreesWithContains,metric.nominalLength,metric.nominalHeight,metric.nominalThickness,metric.warpAmplitude,metric.thicknessVariability,metric.pinchFloorRatio,metric.volumeM3,metric.minInteriorThickness,metric.maxInteriorThickness,metric.midSurfaceRange,metric.meshVolumeRelError,metric.scenePayloadBytes,metric.containsPointsPerSecond,runtime.realize,runtime.world,runtime.clearance,runtime.mesh,runtime.scene,runtime.total
RANDOM_WARPED_VEIN-301,301,True,1,1,"[139, 96, 69]",21587,43170,True,True,True,True,477.24636932980843,360.4367731055148,14.298949217841729,29.296604656864044,0.46564961551460105,0.3511152906459118,2042415.170959336,9.99213029535864,17.0130656360458,30.463499971962833,0.0046163597574706535,2012220,482515.19436942786,0.013535379999666475,0.9036628779995226,0.2484402259997296,0.06059655900025973,0.22667950300001394,2.9080966450001142
RANDOM_WARPED_VEIN-302,302,True,1,1,"[151, 72, 46]",13118,26232,True,True,True,True,458.23399469953563,244.25538545039691,19.74887541343949,12.893719240872366,0.25546023598348006,0.4545181505096715,1428828.613561859,11.65973855080767,20.916268696327954,17.12544312513151,0.0039820955100198134,1441260,494260.88967945153,0.009748862000378722,0.37507550600003015,0.12520897799913655,0.032454159999360854,0.18442456999946444,2.0653017309996358
RANDOM_WARPED_VEIN-303,303,True,1,1,"[200, 94, 47]",19356,38708,True,True,True,True,618.2387360064072,318.9949411124578,14.262275459153303,16.09363068000341,0.4214698216902826,0.45165022821131773,1936628.6716583152,9.34788492053368,16.678209514700644,14.267223316752865,0.005292447579322655,1861202,447863.25177077064,0.011850291999508045,0.3563268660000176,0.2286088609998842,0.047819893000450975,0.3392804980003348,2.528102141999625
RANDOM_WARPED_VEIN-304,304,True,1,1,"[172, 94, 47]",21863,43722,True,True,True,True,538.6393759361061,324.9800069297384,18.903171963149216,13.883482748014792,0.25112309031020164,0.4342973082434658,2472716.5642228746,13.603127086187161,19.527946018627063,22.420507481199337,0.003434407525370899,2034093,472525.31736550573,0.010736835999523464,0.459760574000029,0.21072146999995311,0.05162034700060758,0.2645749479997903,2.48901480800032
RANDOM_WARPED_VEIN-305,305,True,1,1,"[154, 78, 66]",23858,47712,True,True,True,True,532.1633604340576,312.23364035484894,24.18438867489172,19.902986974872558,0.46408158345615935,0.4770201160089699,3079201.617701251,15.681542222491366,29.989526396474904,27.77751398320021,0.002578021432920663,2176635,472975.1304429531,0.008988167000097746,0.3656037369992191,0.23138160399957997,0.058952317999683146,0.2136099640001703,2.3551008340000408
RANDOM_WARPED_VEIN-306,306,True,1,1,"[148, 77, 59]",18423,36842,True,True,True,True,484.2722476959345,286.72636032094385,18.74141657622203,19.600929272103958,0.4743880386688111,0.48748251895433325,1939425.277030939,11.716684155695724,21.842219541069376,27.660802156832162,0.0036657559660675165,1798262,474610.3122329653,0.008723596999516303,0.38121994199991605,0.19529549199978646,0.04735551800058602,0.2159674200001973,2.2849619319995327
RANDOM_WARPED_VEIN-307,307,True,1,1,"[115, 57, 33]",9916,19828,True,True,True,True,391.35662266941233,218.66754567531626,8.90481894818751,10.310461787118372,0.49527553614842984,0.36633507978510704,544041.585432041,4.269219750721258,9.841128847478526,13.191559008570433,0.015687968501866167,1212212,475258.96816036734,0.006113744999311166,0.3547300580003139,0.05426558900035161,0.020938482000019576,0.11727303099996789,1.8658064299997932
RANDOM_WARPED_VEIN-308,308,True,1,1,"[162, 79, 46]",16714,33424,True,True,True,True,521.9819326377544,280.43972286841733,21.620073851532446,9.268878555433648,0.45744079761035444,0.4814497471806788,2097982.2034723447,11.337743272019175,21.901792709445722,8.235517728744101,0.0033001822792626933,1680937,460071.0064573187,0.01480521499979659,0.35250532400004886,0.17146979399967677,0.04284100199947716,0.2124052249992019,2.2603359209997507
RANDOM_WARPED_VEIN-309,309,True,1,1,"[125, 62, 45]",9614,19224,True,True,True,True,400.33015198699206,218.43797307478422,9.207800903571766,18.321196482972784,0.41563346268706347,0.42069449309335194,583740.6718997449,5.500799034329758,10.53195961458251,11.66355683059395,0.014138059183098144,1199593,475768.83217978495,0.006829846000073303,0.387131784000303,0.08193458499954431,0.021754418999989866,0.13173273499978677,1.9415809989995978
RANDOM_WARPED_VEIN-310,310,True,1,1,"[123, 96, 60]",15196,30388,True,True,True,True,394.60540874422,379.76981060298937,18.069404707147974,20.598958187211178,0.4751820121172947,0.4766341773923132,1705088.3787567357,10.842098210205258,17.951706771565757,11.098339194419577,0.004413052660146178,1582630,521396.1995399515,0.008311869000863226,0.3651123820000066,0.2071380469997166,0.03823666600055731,0.19210115999976551,2.114447668000139
RANDOM_WARPED_VEIN-311,311,True,1,1,"[136, 100, 73]",22712,45420,True,True,True,True,418.8851437693356,367.58576050583247,19.305228388944876,28.08148735271642,0.46622567757448874,0.32189678671560096,2291308.0808070386,11.759549727253207,23.6830153992376,30.586898225304797,0.0035624191017790854,2091883,478684.63192034507,0.010985367000102997,0.4009458770005949,0.4105176940001911,0.05898375800006761,0.22425908500008518,2.5712327840001308
RANDOM_WARPED_VEIN-312,312,True,1,1,"[119, 88, 52]",14196,28388,True,True,True,True,369.99427297328435,319.5238355492524,20.164892168814475,16.088511675616456,0.3109292615177208,0.47437237567781143,1750248.8508990987,12.772379734116617,24.091979750461533,16.329875304750193,0.0030405220858595334,1509426,555355.6935315365,0.0077507550004156656,0.35982520099969406,0.17311908200008475,0.03342343599979358,0.18217661700055032,1.9789561190000313
