key,preset,seed,faultCount,orebodyType,contract.worldGenerated,contract.worldError,contract.targetsStatus,contract.targetsLevels,contract.targetsValid,contract.targetsRejected,contract.declineStatus,contract.declineLevels,contract.declineCompletedLevels,contract.smoothedStatus,contract.smoothedSegments,contract.smoothedFallbackSegments,contract.tunnelStatus,contract.levelsStatus,contract.levelsDriftPieces,contract.levelsCrosscuts,contract.networkStatus,contract.networkNodes,contract.networkEdges,contract.networkConnected,contract.stopesStatus,contract.stopeCount,contract.timelineStatus,contract.timelineTasks,metric.rawDeclineLength,metric.generalizedCost,metric.expandedStates,metric.maxGradient,metric.minimumRadius,metric.effectiveDeclineLength,metric.effectiveMinPlanRadius,metric.effectiveMaxGradient,metric.faultCrossings,metric.developmentLengthFaultCore,metric.developmentLengthFaultDamage,metric.developmentLengthPoorRock,metric.totalDriftLength,metric.totalCrosscutLength,metric.totalDevelopmentLength,metric.plannedStopeTonnes,metric.gradeProxy,metric.timelineEndDay,runtime.world,runtime.targets,runtime.decline,runtime.smooth,runtime.tunnel,runtime.levels,runtime.network,runtime.stopes,runtime.timeline,runtime.total
BASELINE-42,BASELINE,42,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,220,221,SUCCESS,455,454,True,SUCCESS,204,SUCCESS,1474,3837.4332305258145,7221.040287333693,55467,0.12,18.0,3837.2098921129727,17.956061490679186,0.12000608677309571,0,0.0,0.0,29.03260592564947,7280.000000000001,4703.665754343531,15820.22389741577,5470725.09274417,3.9980178962049715,1106.3110909790057,1.2051732540001012,0.025854483000102846,77.89086191499996,7.967867233000106,4.626917847000186,0.2988548520002041,4.51419266899984,0.22636145399997076,0.09560560900013115,96.99087992499994
BASELINE-7,BASELINE,7,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,1,SUCCESS,SUCCESS,216,221,SUCCESS,451,450,True,SUCCESS,204,SUCCESS,1470,3736.561602986643,7132.467058310687,218947,0.12,18.0,3736.294038854898,17.959415725921197,0.12000865100357094,0,0.0,0.0,194.138019893548,7280.000000000001,4703.665754343532,15719.337145411097,5470725.09274417,3.773937177438762,1071.0894029778365,1.0277613299999757,0.025212324999984048,254.70381873899987,7.109922385000118,4.400469432999898,0.2711492679998173,4.550774291999915,0.26632720300017354,0.1568249750000632,272.64928411200003
BASELINE-1234,BASELINE,1234,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,221,221,SUCCESS,456,455,True,SUCCESS,204,SUCCESS,1475,3710.719071685786,7367.0987323538775,169067,0.12,18.0,3710.500980706488,17.954765762154555,0.12000000000001769,0,0.0,0.0,38.78355544951824,7280.000000000001,4703.665754343533,15693.535127868488,5470725.09274417,4.164913993600818,1074.6388985921833,1.1217852269999185,0.025849789999938366,209.3920826179999,7.907460137000271,4.564915217999896,0.2743118250000407,4.8264819040000475,0.21835346099987873,0.106965000999935,228.5885034380001
BASELINE-2026,BASELINE,2026,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,3,SUCCESS,SUCCESS,221,221,SUCCESS,456,455,True,SUCCESS,204,SUCCESS,1475,3558.72837361038,7164.148023094691,1260283,0.12,18.0,3558.3515147508483,17.95186398063517,0.12000000000000796,0,0.0,0.0,332.3511620715985,7280.000000000001,4703.665754343531,15541.596234517823,5470725.09274417,3.9107031394241125,1036.654175254516,1.1217027880002206,0.0257926590002171,1436.966483396,6.457715861999986,4.4210459800001445,0.2736072879997664,4.806725535999703,0.2175915000002533,0.09854691900000034,1454.525353257
BASELINE-99,BASELINE,99,1,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS,13,0,SUCCESS,SUCCESS,218,221,SUCCESS,453,452,True,SUCCESS,204,SUCCESS,1472,3646.258031810991,6839.33540962656,294173,0.12,18.0,3646.030943074277,17.95731655905123,0.12000000000001126,0,0.0,0.0,77.53838359738991,7280.000000000001,4703.665754343531,15629.034160044117,5470725.09274417,4.342256473542342,1053.5136566360902,1.1004986729999473,0.025579465000191703,335.5237342810001,7.33333054700006,4.6314084900000125,0.28528882499995234,4.756881290000365,0.23125326999979734,0.09349449900037143,354.12544791799974
RANDOM_TABULAR-101,RANDOM_TABULAR,101,0,TABULAR,True,,SUCCESS,7,30,5,PARTIAL,7,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,0.6495734580003045,0.024923136999859707,0.0019901810001101694,,,,,,,0.6765098329997272
RANDOM_TABULAR-102,RANDOM_TABULAR,102,1,TABULAR,True,,SUCCESS,8,40,0,PARTIAL,8,0,,,,,,,,,,,,,,,,0.0,0.0,1250000,0.0,,,,,,,,,,,,,,,1.180253582000205,0.02560132700000395,1368.875004556,,,,,,,1370.0808867120004
RANDOM_TABULAR-103,RANDOM_TABULAR,103,2,TABULAR,True,,SUCCESS,7,35,0,SUCCESS,7,7,SUCCESS,7,0,SUCCESS,SUCCESS,91,91,SUCCESS,190,189,True,SUCCESS,78,SUCCESS,579,3148.898234742766,6780.133866449475,1557324,0.12,18.0,3148.715218720333,17.95828949924692,0.12000000000000964,12,76.74151048095567,481.9590502568462,62.54896409706362,2940.0000000000005,2343.2261819930427,8431.414703906543,2442808.9434287283,3.2719685724696843,927.0513826092638,1.2198053840002103,0.02408220999950572,1969.3306918970002,20.101479238000138,3.791767343000174,0.11995678699986456,0.7160785750002105,0.08983566499955487,0.04341812700022274,1995.5076446009998
RANDOM_TABULAR-104,RANDOM_TABULAR,104,3,TABULAR,True,,SUCCESS,8,40,0,SUCCESS,8,8,SUCCESS_WITH_FALLBACK,8,3,FAILED,SUCCESS,135,136,SUCCESS,280,279,True,SUCCESS,119,SUCCESS,874,3751.2652839912867,9261.424220804558,336380,0.12,18.0,3750.9561334846726,17.957077722988124,0.12000000000001926,24,351.70184422563744,2681.24197076118,0.0,4480.0,2901.0045259993776,11131.470477901881,2726809.2391475425,5.4458897565520035,1065.5072248698546,1.1908611220005696,0.02281783299986273,410.1694631599994,24.117738005999854,0.016637142000035965,0.18663633999949525,1.7050523050002084,0.14378700199995365,0.06219034900004772,437.7158657
RANDOM_TABULAR-105,RANDOM_TABULAR,105,2,TABULAR,True,,SUCCESS,9,40,5,PARTIAL,9,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,1.054731002999688,0.02523941100025695,0.0019173190003130003,,,,,,,1.081913137999436
RANDOM_TABULAR-106,RANDOM_TABULAR,106,1,TABULAR,True,,SUCCESS,11,50,5,PARTIAL,11,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,0.8358512819995667,0.02358602799995424,0.001870656999926723,,,,,,,0.8613270429996192
